"1"	[834579, 2.8613187529652, 7734308.089772561]
"10"	[831767, 0.10145055860832695, 16942384.159780834]
"3"	[833372, 7.965601884705941, 11697763.048650099]
"5"	[832942, -8.957639106449868, 43942670.32018242]
"7"	[833667, 0.9469679341605363, 25533864.08525158]
"9"	[831083, -0.1088372303055089, 2176555.4022881277]
"0"	[834254, 5.591050554147784, 16079677.983171381]
"11"	[832611, -1.7919974196101298, 302430777.6582285]
"2"	[833907, 0.36435817432874756, 5420822.721269036]
"4"	[832489, -25.654848862781943, 135981855.58619592]
"6"	[835104, -0.5728199968338665, 7674301.449036849]
"8"	[834225, -1.9048060670226001, 6436147.229472484]
