(1939, 49.5, 30.16)
(1940, 55.29, 35.58)
(1941, 56.84, 40.2)
(1942, 54.91, 38.07)
(1943, 54.59, 36.3)
(1944, 55.79, 38.68)
(1945, 54.3, 37.45)
(1946, 57.36, 38.67)
(1947, 54.41, 38.36)
(1948, 57.81, 35.66)
(1949, 58.67, 36.65)
(1950, 54.87, 33.93)
(1951, 54.11, 33.86)
(1952, 57.88, 36.96)
(1953, 59.46, 38.24)
(1954, 58.34, 37.55)
(1955, 58.47, 36.55)
(1956, 57.86, 36.14)
(1957, 56.82, 36.15)
(1958, 57.25, 34.45)
(1959, 56.25, 35.43)
(1960, 54.89, 34.37)
(1961, 56.08, 35.04)
(1962, 54.8, 34.46)
(1963, 56.17, 33.37)
(1964, 58.48, 35.41)
(1965, 55.32, 34.11)
(1966, 55.7, 32.32)
(1967, 54.78, 32.98)
(1968, 56.98, 35.27)
(1969, 54.46, 33.93)
(1970, 56.05, 34.63)
(1971, 57.49, 34.38)
(1972, 53.65, 32.42)
(1973, 57.68, 37.77)
(1974, 56.44, 35.22)
(1975, 57.88, 36.05)
(1976, 57.72, 31.89)
(1977, 56.79, 34.53)
(1978, 55.03, 32.89)
(1979, 54.76, 33.0)
(1980, 55.4, 33.89)
(1981, 57.63, 35.47)
(1982, 54.79, 33.74)
(1983, 55.4, 35.65)
(1984, 56.06, 35.8)
(1985, 54.97, 34.44)
(1986, 55.98, 36.62)
(1987, 58.99, 38.93)
(1988, 58.29, 35.2)
(1989, 55.64, 34.12)
(1990, 58.5, 37.78)
(1991, 58.18, 37.37)
(1992, 56.02, 36.85)
(1993, 55.73, 36.92)
(1994, 57.76, 35.95)
(1995, 57.21, 36.98)
(1996, 53.36, 33.99)
(1997, 54.36, 36.18)
(1998, 58.89, 40.93)
(1999, 58.16, 38.08)
(2000, 56.24, 37.11)
(2001, 57.46, 38.78)
(2002, 57.3, 38.18)
(2003, 56.38, 35.79)
(2004, 56.52, 37.57)
(2005, 58.18, 38.5)
(2006, 57.93, 39.36)
(2007, 57.35, 38.49)
(2008, 54.78, 35.54)
(2009, 55.23, 36.0)
(2010, 58.13, 38.69)
(2011, 57.29, 38.34)
(2012, 61.99, 40.75)
(2013, 55.32, 36.29)
(2014, 54.45, 35.24)
(2015, 57.86, 38.75)
(2016, 58.34, 40.35)
(2017, 57.64, 39.07)
(2018, 56.01, 37.84)
(2019, 55.26, 37.27)
(2020, 57.52, 38.82)
(2021, 58.87, 38.99)
(2022, 56.65, 37.6)
(2023, 59.61, 40.36)
